Date,Open,High,Low,Close,Volume
10/18/2024,"138.67","138.90","137.28","138.00","176,090,203"
10/17/2024,"139.34","140.89","136.87","136.93","306,435,906"
10/16/2024,"133.98","136.62","131.58","135.72","264,879,688"
10/15/2024,"137.87","138.57","128.74","131.60","377,831,000"
10/14/2024,"136.47","139.60","136.30","138.07","232,347,703"
10/11/2024,"134.01","135.78","133.66","134.80","170,209,500"
10/10/2024,"131.91","135.00","131.00","134.81","242,311,297"
10/09/2024,"134.11","134.52","131.38","132.65","246,191,594"
10/08/2024,"130.26","133.48","129.42","132.89","285,722,500"
10/07/2024,"124.99","130.64","124.95","127.72","346,250,219"
10/04/2024,"124.94","125.04","121.83","124.92","244,465,594"
10/03/2024,"120.92","124.36","120.34","122.85","277,118,031"
10/02/2024,"116.44","119.38","115.14","118.85","221,845,906"
10/01/2024,"121.77","122.44","115.79","117.00","302,094,500"
09/30/2024,"118.31","121.50","118.15","121.44","227,053,703"
09/27/2024,"123.97","124.03","119.26","121.40","271,009,219"
09/26/2024,"126.80","127.67","121.80","124.04","302,582,906"
09/25/2024,"122.02","124.94","121.61","123.51","284,692,906"
09/24/2024,"116.52","121.80","115.38","120.87","354,966,781"
09/23/2024,"116.55","116.99","114.86","116.26","206,228,500"
09/20/2024,"117.06","118.62","115.39","116.00","382,462,406"
09/19/2024,"117.35","119.66","117.25","117.87","293,506,406"
09/18/2024,"115.89","117.70","113.22","113.37","310,318,906"
09/17/2024,"118.17","118.80","114.83","115.59","231,925,906"
09/16/2024,"116.79","118.18","114.36","116.78","248,772,297"
09/13/2024,"119.08","119.96","117.60","119.10","238,358,297"
09/12/2024,"116.84","120.79","115.38","119.14","367,100,500"
09/11/2024,"109.39","117.19","107.42","116.91","441,422,406"
09/10/2024,"107.81","109.40","104.95","108.10","268,283,688"
09/09/2024,"104.88","106.55","103.69","106.47","273,912,000"
09/06/2024,"108.04","108.15","100.95","102.83","413,638,125"
09/05/2024,"104.99","109.65","104.76","107.21","306,850,688"
09/04/2024,"105.41","113.27","104.12","106.21","372,470,312"
09/03/2024,"116.01","116.21","107.29","108.00","474,972,000"
08/30/2024,"119.53","121.75","117.22","119.37","333,751,625"
08/29/2024,"121.36","124.43","116.71","117.59","453,023,281"
08/28/2024,"128.12","128.33","122.64","125.61","448,101,094"
08/27/2024,"125.05","129.20","123.88","128.30","303,134,594"
08/26/2024,"129.57","131.26","124.37","126.46","331,964,719"
08/23/2024,"125.86","129.60","125.22","129.37","323,230,312"
08/22/2024,"130.02","130.75","123.10","123.74","376,189,094"
08/21/2024,"127.32","129.35","126.66","128.50","257,883,594"
08/20/2024,"128.40","129.88","125.89","127.25","300,087,406"
08/19/2024,"124.28","130.00","123.42","130.00","318,333,594"
08/16/2024,"121.94","125.00","121.18","124.58","302,589,875"
08/15/2024,"118.76","123.24","117.47","122.86","318,086,688"
08/14/2024,"118.53","118.60","114.07","118.08","339,246,406"
08/13/2024,"112.44","116.23","111.58","116.14","312,646,688"
08/12/2024,"106.32","111.07","106.26","109.02","325,559,906"
08/09/2024,"105.64","106.60","103.43","104.75","290,844,188"
08/08/2024,"102.00","105.50","97.52","104.97","391,910,031"
08/07/2024,"107.81","108.80","98.69","98.91","411,440,375"
08/06/2024,"103.84","107.71","100.55","104.25","409,012,094"
08/05/2024,"92.06","103.41","90.69","100.45","552,842,375"
08/02/2024,"103.76","108.72","101.37","107.27","482,027,500"
08/01/2024,"117.53","120.16","106.81","109.21","523,462,312"
07/31/2024,"112.90","118.34","110.88","117.02","473,174,219"
07/30/2024,"111.52","111.99","102.54","103.73","486,833,312"
07/29/2024,"113.69","116.28","111.30","111.59","248,152,094"
07/26/2024,"116.19","116.20","111.58","113.06","293,399,094"
07/25/2024,"113.04","116.63","106.30","112.28","460,067,000"
07/24/2024,"119.17","119.95","113.44","114.25","327,776,906"
07/23/2024,"122.78","124.69","122.10","122.59","173,911,016"
07/22/2024,"120.35","124.07","119.86","123.54","258,068,891"
07/19/2024,"120.35","121.60","117.37","117.93","217,223,812"
07/18/2024,"121.85","122.40","116.56","121.09","320,979,500"
07/17/2024,"121.35","121.85","116.72","117.99","390,086,219"
07/16/2024,"128.44","129.04","124.58","126.36","214,769,500"
07/15/2024,"130.56","131.39","127.18","128.44","208,326,203"
07/12/2024,"128.26","131.92","127.22","129.24","252,680,500"
07/11/2024,"135.75","136.15","127.05","127.40","374,782,688"
07/10/2024,"134.03","135.10","132.42","134.91","248,978,594"
07/09/2024,"130.35","133.82","128.65","131.38","287,020,812"
07/08/2024,"127.49","130.77","127.04","128.20","237,677,297"
07/05/2024,"127.38","128.85","125.68","125.83","214,176,703"
07/03/2024,"121.66","128.28","121.36","128.28","215,748,984"
07/02/2024,"121.13","123.41","121.03","122.67","218,374,000"
07/01/2024,"123.47","124.84","118.83","124.30","284,885,500"
06/28/2024,"124.58","127.71","122.75","123.54","315,516,719"
06/27/2024,"124.10","126.41","122.92","123.99","252,571,703"
06/26/2024,"126.13","128.12","122.60","126.40","362,975,906"
06/25/2024,"121.20","126.50","119.32","126.09","425,787,500"
06/24/2024,"123.24","124.46","118.04","118.11","476,060,906"
06/21/2024,"127.12","130.63","124.30","126.57","655,484,688"
06/20/2024,"139.80","140.76","129.52","130.78","517,768,375"
06/18/2024,"131.14","136.33","130.69","135.58","294,335,094"
06/17/2024,"132.99","133.73","129.58","130.98","288,504,375"
06/14/2024,"129.96","132.84","128.32","131.88","309,320,375"
06/13/2024,"129.39","129.80","127.16","129.61","260,704,500"
06/12/2024,"123.06","126.88","122.57","125.20","299,595,000"
06/11/2024,"121.77","122.87","118.74","120.91","222,551,203"
06/10/2024,"120.37","123.10","117.01","121.79","314,162,688"
06/07/2024,"119.77","121.69","118.02","120.89","412,385,776"
06/06/2024,"124.05","125.59","118.32","121.00","664,696,163"
06/05/2024,"118.37","122.45","117.47","122.44","528,401,795"
06/04/2024,"115.72","116.60","114.05","116.44","403,323,976"
06/03/2024,"113.62","115.00","112.00","115.00","438,391,796"
05/31/2024,"112.52","112.72","106.94","109.63","613,262,454"
05/30/2024,"114.65","115.82","109.66","110.50","487,350,305"
05/29/2024,"113.05","115.49","110.90","114.83","557,441,904"
05/28/2024,"110.24","114.94","109.88","113.90","652,727,963"
05/24/2024,"104.45","106.48","103.00","106.47","429,493,666"
05/23/2024,"102.03","106.32","101.52","103.80","835,065,302"
05/22/2024,"95.46","96.02","93.25","94.95","548,648,005"
05/21/2024,"93.60","95.40","93.18","95.39","328,946,477"
05/20/2024,"93.75","95.20","93.44","94.78","318,764,467"
05/17/2024,"94.37","94.74","91.81","92.48","359,691,016"
05/16/2024,"94.91","95.82","94.10","94.36","323,951,817"
05/15/2024,"92.47","94.86","91.60","94.63","417,735,506"
05/14/2024,"89.60","91.65","88.93","91.36","296,507,107"
05/13/2024,"90.48","91.00","88.53","90.40","289,680,197"
05/10/2024,"90.30","91.40","89.23","89.88","335,325,427"
05/09/2024,"90.53","91.07","88.23","88.75","378,012,726"
05/08/2024,"89.48","91.19","89.42","90.41","325,720,997"
05/07/2024,"91.10","91.78","89.01","90.55","437,341,596"
05/06/2024,"89.39","92.22","89.06","92.14","376,202,616"
05/03/2024,"87.79","89.28","87.04","88.79","398,340,696"
05/02/2024,"84.45","86.24","83.20","85.82","377,897,536"
05/01/2024,"85.08","86.00","81.25","83.04","559,863,154"
04/30/2024,"87.24","88.82","86.30","86.40","363,708,706"
04/29/2024,"87.60","87.99","85.27","87.76","388,970,776"
04/26/2024,"83.82","88.33","83.39","87.74","551,010,854"
04/25/2024,"78.87","83.32","78.22","82.63","424,640,696"
04/24/2024,"83.95","84.08","79.18","79.68","512,207,535"
04/23/2024,"80.77","82.77","80.26","82.42","438,559,406"
04/22/2024,"78.10","80.07","76.40","79.52","596,340,464"
04/19/2024,"83.15","84.32","75.61","76.20","875,197,961"
04/18/2024,"84.97","86.19","82.40","84.67","447,260,306"
04/17/2024,"88.34","88.78","83.95","84.04","495,399,525"
04/16/2024,"86.43","88.12","86.06","87.42","370,453,006"
04/15/2024,"89.10","90.61","85.93","86.00","443,076,986"
04/12/2024,"89.70","90.17","87.53","88.19","426,804,796"
04/11/2024,"87.42","90.74","86.93","90.62","431,637,266"
04/10/2024,"83.93","87.40","83.71","87.04","431,928,476"
04/09/2024,"87.44","87.64","83.02","85.35","503,547,375"
04/08/2024,"88.70","88.83","86.73","87.13","283,219,997"
04/05/2024,"86.87","88.48","85.93","88.01","399,678,476"
04/04/2024,"90.41","90.63","85.88","85.91","434,964,876"
04/03/2024,"88.48","90.37","88.40","88.96","370,066,596"
04/02/2024,"88.45","90.09","87.62","89.45","433,063,586"
04/01/2024,"90.30","92.23","89.20","90.36","452,441,515"
03/28/2024,"90.00","91.30","89.19","90.36","435,212,296"
03/27/2024,"93.11","93.24","89.12","90.25","586,067,184"
03/26/2024,"95.85","96.38","92.50","92.56","513,647,615"
03/25/2024,"93.94","96.77","93.51","95.00","552,136,084"
03/22/2024,"91.14","94.78","90.83","94.29","586,719,374"
03/21/2024,"92.30","92.65","90.41","91.44","480,372,295"
03/20/2024,"89.80","90.41","88.22","90.37","479,062,805"
03/19/2024,"86.70","90.54","85.01","89.40","672,171,243"
03/18/2024,"90.39","92.41","87.09","88.46","668,975,933"
03/15/2024,"86.93","89.55","86.26","87.84","642,086,204"
03/14/2024,"89.58","90.65","86.60","87.94","602,318,194"
03/13/2024,"91.06","91.50","88.44","90.89","635,712,924"
03/12/2024,"88.05","91.96","86.15","91.91","668,075,223"
03/11/2024,"86.43","88.80","84.17","85.77","678,364,053"
03/08/2024,"95.14","97.40","86.51","87.53","1,142,268,969"
03/07/2024,"90.16","92.77","89.60","92.67","608,119,134"
03/06/2024,"88.02","89.72","87.03","88.70","582,520,304"
03/05/2024,"85.27","86.10","83.42","85.96","520,639,295"
03/04/2024,"84.13","87.70","83.72","85.24","615,616,444"
03/01/2024,"80.00","82.30","79.44","82.28","479,135,115"
02/29/2024,"79.09","79.99","78.35","79.11","507,288,975"
02/28/2024,"77.62","78.93","77.13","77.66","393,110,386"
02/27/2024,"79.38","79.48","77.16","78.70","391,705,196"
02/26/2024,"79.70","80.65","78.51","79.09","503,972,725"
02/23/2024,"80.79","82.39","77.57","78.82","829,388,432"
02/22/2024,"75.03","78.58","74.22","78.54","865,099,681"
02/21/2024,"68.01","68.89","66.25","67.47","690,298,043"
02/20/2024,"71.95","71.96","67.73","69.45","704,833,113"
02/16/2024,"74.10","74.40","72.50","72.61","495,326,595"
02/15/2024,"73.87","73.98","72.40","72.66","420,121,796"
02/14/2024,"73.20","74.24","71.94","73.90","504,917,375"
02/13/2024,"70.40","73.45","69.62","72.13","602,580,154"
02/12/2024,"72.60","74.61","71.25","72.25","613,710,194"
02/09/2024,"70.53","72.19","70.21","72.13","436,636,876"
02/08/2024,"70.07","70.79","69.46","69.64","414,422,066"
02/07/2024,"68.32","70.22","67.60","70.10","495,574,605"
02/06/2024,"69.63","69.75","66.30","68.22","683,111,323"
02/05/2024,"68.23","69.50","67.21","69.33","680,077,963"
02/02/2024,"63.97","66.60","63.69","66.16","476,577,695"
02/01/2024,"62.10","63.19","61.65","63.03","369,145,776"
01/31/2024,"61.44","62.27","60.70","61.53","453,794,875"
01/30/2024,"62.90","63.49","62.26","62.77","410,735,266"
01/29/2024,"61.23","62.49","60.91","62.47","348,733,007"
